species,soil
Astragalus_miguelensis,calcisols
Astragalus_psilacanthus,calcisols
Astragalus_episcopus,calcisols
Astragalus_prorifer,regosols
Astragalus_froedinii,regosols
Astragalus_richii,cambisols
Astragalus_purshii,kastanozems
Astragalus_geniculatus,calcisols
Astragalus_filipes,kastanozems
Oxytropis_jacquinii,cambisols
Astragalus_oophorus,kastanozems
Astragalus_altus,luvisols
Astragalus_squarrosus,regosols
Astragalus_kudrjaschovii,regosols
Astragalus_neomexicanus,luvisols
Astragalus_lutosus,calcisols
Astragalus_conjunctus,kastanozems
Astragalus_coahuilae,calcisols
Astragalus_teheranicus,calcisols
Astragalus_eriopodus,regosols
Astragalus_chamissonis,leptosols
Astragalus_geyeri,cambisols
Astragalus_curvirostris,calcisols
Astragalus_yoder-williamsii,kastanozems
Astragalus_oocarpus,luvisols
Astragalus_sanctae-crucis,cambisols
Astragalus_panamintensis,calcisols
Astragalus_praelongus,calcisols
Astragalus_dictyolobus,regosols
Astragalus_vexilliflexus,cambisols
Astragalus_falconeri,cambisols
Astragalus_feensis,luvisols
Astragalus_gracilis,kastanozems
Astragalus_sanguineus,leptosols
Astragalus_sheldonii,kastanozems
Astragalus_albulus,cambisols
Oxytropis_strobilacea,cambisols
Astragalus_minutissimus,cambisols
Astragalus_anemophilus,regosols
Astragalus_lepsensis,chernozems
Astragalus_eurylobus,cambisols
Astragalus_gruinus,regosols
Astragalus_danicus,cambisols
Astragalus_erythrosemius,cambisols
Astragalus_diversifolius,chernozems
Astragalus_pseudomegalomerus,calcisols
Astragalus_berteri,cambisols
Astragalus_atropilosulus,luvisols
Astragalus_schanginianus,cambisols
Astragalus_melanostachys,cambisols
Astragalus_bicristatus,kastanozems
Astragalus_cicer,cambisols
Astragalus_pavlovii,gypsisols
Astragalus_sinuatus,kastanozems
Astragalus_brauntonii,kastanozems
Astragalus_szovitsii,leptosols
Astragalus_preussii,calcisols
Astragalus_microphysa,calcisols
Astragalus_saurinus,calcisols
Astragalus_rafaelensis,calcisols
Oxytropis_splendens,cambisols
Astragalus_macropus,chernozems
Astragalus_arthurii,kastanozems
Oxytropis_neglecta,cambisols
Astragalus_ponticus,cambisols
Oxytropis_yunnanensis,leptosols
