"guid","eventDate","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","scientificName","order","genus","specificEpithet","validName","match","source","x"
"1230492681","2003-07-07T00:00:00","Armenia, Syunik province, eastern part of Zangezur Mts., W of road from Goris to Kapan, road to village Bardzravan, between Bardzravan and old church of Beheno-Noravankh, 39°23’01-09“N 46°20’14-18“E","39.38472","46.33778",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"1230503743","2006-06-04T00:00:00","Armenia, Aragatsotn province, area N of Aparan, valley c. 2.5 km E of Melikyugh","40.66306","44.38528",NA,"Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"2598722359","2012-06-16T00:00:00","Iran, Azarbijan, Mianeh, Bozqush Mts, above Nishagh village, 37⁰46'06""N; 47⁰41'14""E, 2600 m","37.76833","47.68722","50","Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
"2456527583","2012-06-04T19:52:00",NA,"41.35661","47.89637","1953","Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif",NA
NA,"2002-06-30","Aragatsotn province, Ashtarak distr. Mt. Aragats, ca. 10 km N of Ashtarak, around castle Hamberd.","40.3833351135","44.2166671753",NA,"Astragalus aureus Willd.",NA,"Astragalus","aureus","Astracantha aurea","synMatch","idig",NA
"895350661","2005-6-20 & 2005-6-20","provincia de Gegharkunik, pr. Pambak","40.37","45.52","0","Astragalus aureus Willd.","Fabales","Astragalus","aureus","Astracantha aurea","Syn","gbif_gaz",NA
"1144583572",NA,"Palestinien occupé, Territoire - Mt francais près de Bethlehem","31.88333","35.2",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1144583582","1910-05-31T00:00:00","Al Biqa - In Antilibani regioni subalpina, in declivitatibus supra Baalbek","34.04694","36.11861",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1144583574","1933-07-05T00:00:00","Ash Shamal - Les Cèdres","34.40278","36.05278",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1144583577",NA,"Dimashq - Syria, collis Damasci","33.52944","37.05278",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"438553628","1934-05-23T00:00:00",NA,"36.59111","36.96111",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"2283011038","2019-04-12T11:01:00",NA,"30.025234","35.465116","31","Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"2366067343","2019-08-17T13:01:00",NA,"31.734588","35.212073","8","Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"2447982533","2019-10-29T10:54:00",NA,"31.735351","35.22299","8","Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"2422867899","2015-01-19T11:42:00",NA,"31.73782","35.20689","8","Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1848349580","1846-06-01T00:00:00","Syria, colles Damasci.","33.5","36.3",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"2294613832","2017-05-17T14:41:00",NA,"31.73129","35.20323","15","Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1846508063","1949-12-02T00:00:00","Negev, env. Of Jebel Gharuf","30.5","34.91667","1e+05","Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094534560","1989-01-01T00:00:00",NA,"30.49","34.65",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094541256","1975-01-01T00:00:00",NA,"31.58","35.21",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094495476","1987-01-01T00:00:00",NA,"31.59","35.2",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094509966","1987-01-01T00:00:00",NA,"31.47","35.04",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094522709","1995-01-01T00:00:00",NA,"31.34","34.99",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094496530","1986-01-01T00:00:00",NA,"31.55","35.2",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094520886","1993-01-01T00:00:00",NA,"31.32","35.09",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094524000","1987-01-01T00:00:00",NA,"31.4","35.09",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094489548","1989-01-01T00:00:00",NA,"31.43","35.18",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094503712","1987-01-01T00:00:00",NA,"31.64","35.13",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094561385","1986-01-01T00:00:00",NA,"31.46","35.04",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094494573","1975-01-01T00:00:00",NA,"31.4","35.16",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094512004","1987-01-01T00:00:00",NA,"31.4","35.1",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094512833","1993-01-01T00:00:00",NA,"31.32","35.04",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
