Astragalus_shelkovnikovii	30.6667
Astragalus_gorodkovii	22
Astragalus_cognatus	17.5
Astragalus_basineri	31.25
Astragalus_miser	43.6767
Astragalus_salmonis	36.7
Astragalus_angarensis	38.7949
Astragalus_yunnanensis	43.9394
Astragalus_schmalhausenii	27.7778
Astragalus_monanthemus	38.5714
Oxytropis_oreophila	44.9182
Astragalus_caroli-henrici	20
Astragalus_leucolobus	51.9803
Astragalus_megalanthus	31.2
Astragalus_setosulus	27
Astragalus_biebersteinii	27.25
Astragalus_ornithopodioides	31.5
Astragalus_desperatus	54.6447
Astragalus_viridis	33.375
Astragalus_sinicus	34.2996
Astragalus_chaetodon	0
Astragalus_tremolsianus	32.8333
Astragalus_melanodon	41.5
Astragalus_pseudojohannis	24.5
Astragalus_psilocentros	38.0571
Astragalus_atropubescens	44.5135
Astragalus_vaccarum	28.4062
Astragalus_sesamoides	25
Astragalus_adanus	41.9194
Astragalus_distortus	29.6747
Astragalus_gaubae	29.5
Astragalus_luteolus	37.2222
Astragalus_hypsogenus	51.5
Astragalus_kungurensis	27.5
Astragalus_calliphysa	42.5
Astragalus_euchlorus	32.8333
Astragalus_galegiformis	36.5135
Astragalus_limprichtii	32.7143
Astragalus_layneae	59.8851
Astragalus_racemosus	36.7455
Astragalus_basiflorus	24.5
Astragalus_limnocharis	42.3235
Astragalus_egglestonii	43.8125
Astragalus_neobarnebyanus	39
Astragalus_cremnophylax	45.2
Astragalus_lancearius	53.55
Astragalus_discernendus	28.75
Astragalus_debequaeus	38.95
Astragalus_callistachys	25.5
Astragalus_puniceus	42.2
Astragalus_parvus	27.3
Astragalus_solitarius	43.3704
Astragalus_chionobiiformis	20
Astragalus_speirocarpus	39.58
Oxytropis_czukotica	42.9268
Astragalus_brachycarpus	30.8
Astragalus_dielsii	36.5
Astragalus_sikkimensis	45.1667
Astragalus_monticola	46
Astragalus_sutchuenensis	32.75
Astragalus_hymenocystis	18
Astragalus_casapaltensis	27.6667
Astragalus_soxmaniorum	46.3659
Astragalus_beketowi	38.6667
Astragalus_sedaensis	21
Astragalus_isphairamicus	23.5
Astragalus_schmolliae	32.25
Astragalus_aboriginum	42.0219
Astragalus_welshii	39.1111
Astragalus_lacteus	36.5455
Astragalus_scaphoides	41.6562
Astragalus_bellus	46.4
Astragalus_alvordensis	46.6829
