Name,GenesAt50pct,ParalogWarnings
Astragalus_cognatus_P072_WH05,59,1
Astragalus_collinus_P073_WB09,62,4
Astragalus_coltonii_P114_WC01,64,4
Astragalus_columbianus_P073_WB08,67,1
Astragalus_coluteocarpus_P013_WH08,61,0
Astragalus_comosus_P066_WA08,66,0
Astragalus_confertus_P013_WH06,62,0
Astragalus_jolderensis_P013_WH10,58,0
Astragalus_congdonii_P073_WB06,58,3
Astragalus_conjunctus_P073_WB07,67,4
Astragalus_consanguineus_P073_WA10,55,0
Astragalus_consobrinus_P073_WB04,67,4
Astragalus_brevipes_P071_WE01,65,0
Astragalus_contortuplicatus_P072_WD03,63,0
Astragalus_convallarius_P027_WE05,65,3
Astragalus_coquimbensis_P046_WA01,67,3
Astragalus_cornutus_P074_WC01,63,0
Astragalus_corrugatus_P014_WD12,56,0
Astragalus_peduncularis_P013_WH09,47,0
Astragalus_cottonianus_P008_WD07,65,0
Astragalus_cracca_P076_WE06,79,2
Astragalus_crassicarpus_P028_WA05,60,2
Astragalus_cremnophylax_P073_WB02,69,4
Astragalus_crenatus_P010_WH11,59,0
Astragalus_cretaceus_P077_WA03,67,0
Astragalus_cronquistii_P072_WG11,66,5
Astragalus_crotalariae_P028_WE10,52,1
Astragalus_cruckshanksii_P006_WH02,65,5
Astragalus_crymophilus_P070_WB11,65,0
Astragalus_cryptanthus_P006_WG05,58,0
Astragalus_cryptobotrys_P006_WG09,40,0
Astragalus_curtipes_P028_WE11,52,1
Astragalus_curvicarpus_P072_WF12,65,2
Astragalus_curvicaulis_P066_WG10,62,1
Astragalus_curviflorus_P063_WG09,68,0
Astragalus_curvirostris_P068_WG02,70,0
Astragalus_cusickii_P072_WF09,66,7
Astragalus_cyaneus_P072_WF08,62,5
Astragalus_cymboides_P072_WE08,66,2
Astragalus_cyri_P072_WF01,36,0
Astragalus_dactylocarpus_P066_WE05,72,0
Astragalus_dahuricus_P009_WH12,62,0
Astragalus_daleae_P026_WA01,67,2
Astragalus_danicus_P072_WF06,59,0
Astragalus_darumbium_P040_WC01,58,0
Astragalus_dasyanthus_P072_WD04,73,0
Astragalus_debequaeus_P072_WE10,64,6
Astragalus_somcheticus_P074_WD10,67,0
Astragalus_depressus_P075_WF03,61,0
Astragalus_desereticus_P072_WB12,67,4
Astragalus_desperatus_P028_WF02,69,4
Astragalus_deterior_P071_WF01,74,4
Astragalus_detritalis_P071_WF03,69,3
Astragalus_dianthus_P073_WA11,53,0
Astragalus_diaphanus_P072_WC02,64,2
Astragalus_dictyolobus_P073_WA12,69,1
Astragalus_didymocarpus_P071_WE12,66,1
Astragalus_dilutus_P010_WA01,59,0
Astragalus_diminutivus_P066_WG12,56,0
